170;Eye;Artillery;Adobe Suzerain;Scheol Upper;Highlands NW Incarnator N;Eremites;125;;;<a href=http://aomainframe.info/showitem.asp?AOID=219135>QL 170 Active Ocular Symbiant, Artillery Unit Aban</A>;
170;Legs;Infantry;Adobe Suzerain;Scheol Upper;Highlands NW Incarnator N;Eremites;125;;;<a href=http://aomainframe.info/showitem.asp?AOID=235792>QL 170 Active Thigh Symbiant, Infantry Unit Aban</A>;
150;Feet;Infantry;Adobe Suzerain;Scheol Upper;Highlands NW Incarnator N;Eremites;125;;;<a href=http://aomainframe.info/showitem.asp?AOID=235825>QL 150 Surviving Feet Symbiant, Infantry Unit Aban</A>;
160;Feet;Infantry;Adobe Suzerain;Scheol Upper;Highlands NW Incarnator N;Eremites;125;;;<a href=http://aomainframe.info/showitem.asp?AOID=235826>QL 160 Working Feet Symbiant, Infantry Unit Aban</A>;
170;Feet;Infantry;Adobe Suzerain;Scheol Upper;Highlands NW Incarnator N;Eremites;125;;;<a href=http://aomainframe.info/showitem.asp?AOID=235827>QL 170 Active Feet Symbiant, Infantry Unit Aban</A>;
150;Eye;Extermination;Adobe Suzerain;Scheol Upper;Highlands NW Incarnator N;Eremites;125;;;<a href=http://aomainframe.info/showitem.asp?AOID=235842>QL 150 Surviving Ocular Symbiant, Extermination Unit Aban</A>;
110;Left Hand;Artillery;Adobe Suzerain;Scheol Upper;Highlands NW Incarnator N;Eremites;125;;;<a href=http://aomainframe.info/showitem.asp?AOID=235586>QL 110 Operative Left Hand Symbiant, Artillery Unit Aban</A>;
260;Left Arm;Infantry;Aesma Daeva;Inferno Frontier;Incarnator QL 255;Ithaki & Spetses;220;;;<a href=http://aomainframe.info/showitem.asp?AOID=235711>QL 260 Vital Left Arm Symbiant, Infantry Unit Aban</A>;
250;Feet;Artillery;Ahpta;Inferno Frontier;Each side of the ramp to Razor\'s Lair;Named Spinetooth: Atakirh & Salahpt;220;;;<a href=http://aomainframe.info/showitem.asp?AOID=235612>QL 250 Excited Feet Symbiant, Artillery Unit Aban</A>;
270;Eye;Control;Ahpta;Inferno Frontier;Each side of the ramp to Razor\'s Lair;Named Spinetooth: Atakirh & Salahpt;220;;;<a href=http://aomainframe.info/showitem.asp?AOID=236297>QL 270 Cognizant Ocular Symbiant, Control Unit Aban</A>;
250;Head;Control;Ahpta;Inferno Frontier;Each side of the ramp to Razor\'s Lair;Named Spinetooth: Atakirh & Salahpt;220;;;<a href=http://aomainframe.info/showitem.asp?AOID=236312>QL 250 Excited Brain Symbiant, Control Unit Aban</A>;
270;Head;Control;Ahpta;Inferno Frontier;Each side of the ramp to Razor\'s Lair;Named Spinetooth: Atakirh & Salahpt;220;;;<a href=http://aomainframe.info/showitem.asp?AOID=236313>QL 270 Cognizant Brain Symbiant, Control Unit Aban</A>;
250;Legs;Support;Ahpta;Inferno Frontier;Each side of the ramp to Razor\'s Lair;Named Spinetooth: Atakirh & Salahpt;220;;;<a href=http://aomainframe.info/showitem.asp?AOID=236250>QL 250 Excited Thigh Symbiant, Support Unit Aban</A>;
